time,id,celsius,farenh
2016/9/15 16:58:2,28 94 E9 3 0 0 80 5E,24.37,75.87
2016/9/15 16:58:5,28 2C9 3 0 0 80 84,24.37,75.87
2016/9/15 16:58:8,28 CA DE 3 0 0 80 B6,24.37,75.87
2016/9/15 16:58:11,28 23 DE 3 0 0 80 9,24.37,75.87
2016/9/15 16:58:14,28 7B DF 3 0 0 80 4B,24.37,75.87
2016/9/15 16:58:17,28F 6E CF 43 16 3 29,24.37,75.87
2016/9/15 17:1:19,28 94 E9 3 0 0 80 5E,24.44,75.99
2016/9/15 17:1:23,28 2C9 3 0 0 80 84,24.69,76.44
2016/9/15 17:1:26,28 CA DE 3 0 0 80 B6,24.44,75.99
2016/9/15 17:1:29,28 23 DE 3 0 0 80 9,24.50,76.10
2016/9/15 17:1:32,28 7B DF 3 0 0 80 4B,24.50,76.10
2016/9/15 17:1:35,28F 6E CF 43 16 3 29,24.44,75.99
2016/9/15 17:4:37,28 94 E9 3 0 0 80 5E,24.37,75.87
2016/9/15 17:4:40,28 2C9 3 0 0 80 84,24.56,76.21
2016/9/15 17:4:43,28 CA DE 3 0 0 80 B6,24.50,76.10
2016/9/15 17:4:46,28 23 DE 3 0 0 80 9,24.62,76.32
2016/9/15 17:4:50,28 7B DF 3 0 0 80 4B,24.44,75.99
2016/9/15 17:4:53,28F 6E CF 43 16 3 29,24.62,76.32
2016/9/15 17:7:55,28 94 E9 3 0 0 80 5E,24.31,75.76
2016/9/15 17:7:58,28 2C9 3 0 0 80 84,24.25,75.65
2016/9/15 17:8:1,28 CA DE 3 0 0 80 B6,24.62,76.32
2016/9/15 17:8:4,28 23 DE 3 0 0 80 9,24.31,75.76
2016/9/15 17:8:7,28 7B DF 3 0 0 80 4B,24.37,75.87
2016/9/15 17:8:10,28F 6E CF 43 16 3 29,24.62,76.32
2016/9/15 17:11:13,28 94 E9 3 0 0 80 5E,24.62,76.32
2016/9/15 17:11:16,28 2C9 3 0 0 80 84,24.44,75.99
2016/9/15 17:11:19,28 CA DE 3 0 0 80 B6,24.69,76.44
2016/9/15 17:11:22,28 23 DE 3 0 0 80 9,24.56,76.21
2016/9/15 17:11:25,28 7B DF 3 0 0 80 4B,24.75,76.55
2016/9/15 17:11:28,28F 6E CF 43 16 3 29,24.81,76.66
2016/9/15 17:14:30,28 94 E9 3 0 0 80 5E,24.25,75.65
2016/9/15 17:14:33,28 2C9 3 0 0 80 84,24.25,75.65
2016/9/15 17:14:37,28 CA DE 3 0 0 80 B6,24.69,76.44
2016/9/15 17:14:40,28 23 DE 3 0 0 80 9,24.25,75.65
2016/9/15 17:14:43,28 7B DF 3 0 0 80 4B,24.81,76.66
2016/9/15 17:14:46,28F 6E CF 43 16 3 29,24.56,76.21
2016/9/15 17:17:48,28 94 E9 3 0 0 80 5E,24.00,75.20
2016/9/15 17:17:51,28 2C9 3 0 0 80 84,24.12,75.43
2016/9/15 17:17:54,28 CA DE 3 0 0 80 B6,24.12,75.43
2016/9/15 17:17:57,28 23 DE 3 0 0 80 9,24.00,75.20
2016/9/15 17:18:1,28 7B DF 3 0 0 80 4B,24.69,76.44
2016/9/15 17:18:4,28F 6E CF 43 16 3 29,24.19,75.54
2016/9/15 17:21:6,28 94 E9 3 0 0 80 5E,24.06,75.31
2016/9/15 17:21:9,28 2C9 3 0 0 80 84,24.06,75.31
2016/9/15 17:21:12,28 CA DE 3 0 0 80 B6,24.06,75.31
2016/9/15 17:21:15,28 23 DE 3 0 0 80 9,23.94,75.09
2016/9/15 17:21:18,28 7B DF 3 0 0 80 4B,24.25,75.65
2016/9/15 17:21:21,28F 6E CF 43 16 3 29,24.31,75.76
2016/9/15 17:24:23,28 94 E9 3 0 0 80 5E,24.00,75.20
2016/9/15 17:24:27,28 2C9 3 0 0 80 84,24.12,75.43
2016/9/15 17:24:30,28 CA DE 3 0 0 80 B6,24.69,76.44
2016/9/15 17:24:33,28 23 DE 3 0 0 80 9,24.06,75.31
2016/9/15 17:24:36,28 7B DF 3 0 0 80 4B,24.25,75.65
2016/9/15 17:24:39,28F 6E CF 43 16 3 29,24.69,76.44
2016/9/15 17:27:41,28 94 E9 3 0 0 80 5E,24.12,75.43
2016/9/15 17:27:44,28 2C9 3 0 0 80 84,24.19,75.54
2016/9/15 17:27:47,28 CA DE 3 0 0 80 B6,24.87,76.77
2016/9/15 17:27:51,28 23 DE 3 0 0 80 9,23.87,74.97
2016/9/15 17:27:54,28 7B DF 3 0 0 80 4B,24.50,76.10
2016/9/15 17:27:57,28F 6E CF 43 16 3 29,24.62,76.32
2016/9/15 17:30:59,28 94 E9 3 0 0 80 5E,23.75,74.75
2016/9/15 17:31:2,28 2C9 3 0 0 80 84,24.06,75.31
2016/9/15 17:31:5,28 CA DE 3 0 0 80 B6,24.25,75.65
2016/9/15 17:31:8,28 23 DE 3 0 0 80 9,24.19,75.54
2016/9/15 17:31:11,28 7B DF 3 0 0 80 4B,24.12,75.43
2016/9/15 17:31:15,28F 6E CF 43 16 3 29,24.25,75.65
2016/9/15 17:34:17,28 94 E9 3 0 0 80 5E,23.56,74.41
2016/9/15 17:34:20,28 2C9 3 0 0 80 84,23.50,74.30
2016/9/15 17:34:23,28 CA DE 3 0 0 80 B6,23.69,74.64
2016/9/15 17:34:26,28 23 DE 3 0 0 80 9,23.75,74.75
2016/9/15 17:34:29,28 7B DF 3 0 0 80 4B,23.62,74.52
2016/9/15 17:34:32,28F 6E CF 43 16 3 29,23.94,75.09
2016/9/15 17:37:34,28 94 E9 3 0 0 80 5E,23.25,73.85
2016/9/15 17:37:37,28 2C9 3 0 0 80 84,23.12,73.62
2016/9/15 17:37:41,28 CA DE 3 0 0 80 B6,23.31,73.96
2016/9/15 17:37:44,28 23 DE 3 0 0 80 9,23.25,73.85
2016/9/15 17:37:47,28 7B DF 3 0 0 80 4B,23.19,73.74
2016/9/15 17:37:50,28F 6E CF 43 16 3 29,23.62,74.52
2016/9/15 17:40:52,28 94 E9 3 0 0 80 5E,23.25,73.85
2016/9/15 17:40:55,28 2C9 3 0 0 80 84,23.19,73.74
2016/9/15 17:40:58,28 CA DE 3 0 0 80 B6,23.44,74.19
2016/9/15 17:41:1,28 23 DE 3 0 0 80 9,23.19,73.74
2016/9/15 17:41:5,28 7B DF 3 0 0 80 4B,23.25,73.85
2016/9/15 17:41:8,28F 6E CF 43 16 3 29,23.62,74.52
2016/9/15 17:44:10,28 94 E9 3 0 0 80 5E,23.19,73.74
2016/9/15 17:44:13,28 2C9 3 0 0 80 84,23.31,73.96
2016/9/15 17:44:16,28 CA DE 3 0 0 80 B6,23.56,74.41
2016/9/15 17:44:19,28 23 DE 3 0 0 80 9,23.25,73.85
2016/9/15 17:44:22,28 7B DF 3 0 0 80 4B,23.62,74.52
2016/9/15 17:44:25,28F 6E CF 43 16 3 29,23.81,74.86
2016/9/15 17:47:28,28 94 E9 3 0 0 80 5E,23.06,73.51
2016/9/15 17:47:31,28 2C9 3 0 0 80 84,23.25,73.85
2016/9/15 17:47:34,28 CA DE 3 0 0 80 B6,24.00,75.20
2016/9/15 17:47:37,28 23 DE 3 0 0 80 9,23.19,73.74
2016/9/15 17:47:40,28 7B DF 3 0 0 80 4B,23.50,74.30
2016/9/15 17:47:43,28F 6E CF 43 16 3 29,23.69,74.64
2016/9/15 17:50:45,28 94 E9 3 0 0 80 5E,22.81,73.06
2016/9/15 17:50:48,28 2C9 3 0 0 80 84,22.81,73.06
2016/9/15 17:50:52,28 CA DE 3 0 0 80 B6,23.31,73.96
2016/9/15 17:50:55,28 23 DE 3 0 0 80 9,23.00,73.40
2016/9/15 17:50:58,28 7B DF 3 0 0 80 4B,22.94,73.29
2016/9/15 17:51:1,28F 6E CF 43 16 3 29,23.00,73.40
2016/9/15 17:54:3,28 94 E9 3 0 0 80 5E,22.69,72.84
2016/9/15 17:54:6,28 2C9 3 0 0 80 84,22.75,72.95
2016/9/15 17:54:9,28 CA DE 3 0 0 80 B6,22.81,73.06
2016/9/15 17:54:12,28 23 DE 3 0 0 80 9,22.69,72.84
2016/9/15 17:54:15,28 7B DF 3 0 0 80 4B,22.62,72.72
2016/9/15 17:54:19,28F 6E CF 43 16 3 29,22.62,72.72
2016/9/15 17:57:21,28 94 E9 3 0 0 80 5E,22.50,72.50
2016/9/15 17:57:24,28 2C9 3 0 0 80 84,22.56,72.61
2016/9/15 17:57:27,28 CA DE 3 0 0 80 B6,22.69,72.84
2016/9/15 17:57:30,28 23 DE 3 0 0 80 9,22.50,72.50
2016/9/15 17:57:33,28 7B DF 3 0 0 80 4B,22.56,72.61
2016/9/15 17:57:36,28F 6E CF 43 16 3 29,22.75,72.95
2016/9/15 18:0:38,28 94 E9 3 0 0 80 5E,22.44,72.39
2016/9/15 18:0:42,28 2C9 3 0 0 80 84,22.50,72.50
2016/9/15 18:0:45,28 CA DE 3 0 0 80 B6,22.75,72.95
2016/9/15 18:0:48,28 23 DE 3 0 0 80 9,22.37,72.27
2016/9/15 18:0:51,28 7B DF 3 0 0 80 4B,22.50,72.50
2016/9/15 18:0:54,28F 6E CF 43 16 3 29,22.69,72.84
2016/9/15 18:3:56,28 94 E9 3 0 0 80 5E,22.25,72.05
2016/9/15 18:3:59,28 2C9 3 0 0 80 84,22.25,72.05
2016/9/15 18:4:2,28 CA DE 3 0 0 80 B6,22.44,72.39
2016/9/15 18:4:6,28 23 DE 3 0 0 80 9,22.19,71.94
2016/9/15 18:4:9,28 7B DF 3 0 0 80 4B,22.31,72.16
2016/9/15 18:4:12,28F 6E CF 43 16 3 29,22.37,72.27
2016/9/15 18:7:14,28 94 E9 3 0 0 80 5E,22.00,71.60
2016/9/15 18:7:17,28 2C9 3 0 0 80 84,22.12,71.82
2016/9/15 18:7:20,28 CA DE 3 0 0 80 B6,22.06,71.71
2016/9/15 18:7:23,28 23 DE 3 0 0 80 9,22.12,71.82
2016/9/15 18:7:26,28 7B DF 3 0 0 80 4B,22.06,71.71
2016/9/15 18:7:29,28F 6E CF 43 16 3 29,22.00,71.60
2016/9/15 18:10:32,28 94 E9 3 0 0 80 5E,22.25,72.05
2016/9/15 18:10:35,28 2C9 3 0 0 80 84,22.25,72.05
2016/9/15 18:10:38,28 CA DE 3 0 0 80 B6,21.94,71.49
2016/9/15 18:10:41,28 23 DE 3 0 0 80 9,22.37,72.27
2016/9/15 18:10:44,28 7B DF 3 0 0 80 4B,22.50,72.50
2016/9/15 18:10:47,28F 6E CF 43 16 3 29,21.81,71.26
2016/9/15 18:13:49,28 94 E9 3 0 0 80 5E,22.12,71.82
2016/9/15 18:13:52,28 2C9 3 0 0 80 84,22.19,71.94
2016/9/15 18:13:56,28 CA DE 3 0 0 80 B6,21.81,71.26
2016/9/15 18:13:59,28 23 DE 3 0 0 80 9,22.19,71.94
2016/9/15 18:14:2,28 7B DF 3 0 0 80 4B,22.19,71.94
2016/9/15 18:14:5,28F 6E CF 43 16 3 29,21.62,70.93
2016/9/15 18:17:7,28 94 E9 3 0 0 80 5E,21.69,71.04
2016/9/15 18:17:10,28 2C9 3 0 0 80 84,21.69,71.04
2016/9/15 18:17:13,28 CA DE 3 0 0 80 B6,21.56,70.81
2016/9/15 18:17:16,28 23 DE 3 0 0 80 9,21.69,71.04
2016/9/15 18:17:20,28 7B DF 3 0 0 80 4B,21.75,71.15
2016/9/15 18:17:23,28F 6E CF 43 16 3 29,21.44,70.59
2016/9/15 18:20:25,28 94 E9 3 0 0 80 5E,21.50,70.70
2016/9/15 18:20:28,28 2C9 3 0 0 80 84,21.50,70.70
2016/9/15 18:20:31,28 CA DE 3 0 0 80 B6,21.31,70.36
2016/9/15 18:20:34,28 23 DE 3 0 0 80 9,21.50,70.70
2016/9/15 18:20:37,28 7B DF 3 0 0 80 4B,21.50,70.70
2016/9/15 18:20:40,28F 6E CF 43 16 3 29,21.25,70.25
2016/9/15 18:23:43,28 94 E9 3 0 0 80 5E,21.31,70.36
2016/9/15 18:23:46,28 2C9 3 0 0 80 84,21.25,70.25
2016/9/15 18:23:49,28 CA DE 3 0 0 80 B6,21.12,70.02
2016/9/15 18:23:52,28 23 DE 3 0 0 80 9,21.25,70.25
2016/9/15 18:23:55,28 7B DF 3 0 0 80 4B,21.25,70.25
2016/9/15 18:23:58,28F 6E CF 43 16 3 29,21.00,69.80
